,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_spring_weekend,heavy_rain_spring_weekday,heavy_rain_fall_weekend,heavy_rain_fall_weekday,heavy_rain_winter_weekday,before_payday,on_payday,after_payday,specific_month,covid_restriction_christmas,week_number,custom_regressor,fall_start,christmas_shopping,name,event_size,start_date,end_date,date,sentrum_scene_concert_Monday,sentrum_scene_concert_Tuesday,sentrum_scene_concert_Sunday,sentrum_scene_concert_Friday,sentrum_scene_concert_Thursday,sentrum_scene_concert_Saturday,sentrum_scene_concert_Wednesday,days_since_last_30,days_until_next_30,high_weekend,low_weekend,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
0,2021-01-01,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,0.0,0,0.0,False,False,53,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,False,True,False,False
1,2021-01-02,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,0.0,0,0.0,False,False,53,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,False,False,True,False
2,2021-01-03,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,0.0,0,0.0,False,False,53,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,False,False,False,True
3,2021-01-04,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,False,False,1,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,True,False,False,False,False,False,False
4,2021-01-05,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0.0,0,0.0,False,False,1,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,True,False,False,False,False,False
5,2021-01-06,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0.0,0,0.0,False,False,1,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,True,False,False,False,False
6,2021-01-07,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,0.0,0,0.0,False,False,1,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,True,False,False,False
7,2021-01-08,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,0.0,0,0.0,False,False,1,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,False,True,False,False
8,2021-01-09,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,0.0,0,0.0,False,False,1,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,5,True,False,False,False,False,False,False,True,False
9,2021-01-10,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,0.0,0,0.0,False,False,1,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,4,True,False,False,False,False,False,False,False,True
10,2021-01-11,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,False,False,2,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,3,True,False,True,False,False,False,False,False,False
11,2021-01-12,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0.0,0,0.0,False,False,2,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,2,True,False,False,True,False,False,False,False,False
12,2021-01-13,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0.0,0,0.0,False,False,2,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,1,True,False,False,False,True,False,False,False,False
13,2021-01-14,0.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,0.0,0,0.0,False,False,2,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,0,0,True,False,False,False,False,True,False,False,False
14,2021-01-15,0.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,0.0,0,0.0,False,False,2,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,1,0,True,False,False,False,False,False,True,False,False
15,2021-01-16,0.0,0.0,0.0,0.0,0.0,5,1,0,0,0,0,0,0.0,0,0.0,False,False,2,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,2,0,True,False,False,False,False,False,False,True,False
16,2021-01-17,0.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,0.0,0,0.0,False,False,2,0.0,False,False,,,,,,0.0,0.0,0.0,,,,,3,0,True,False,False,False,False,False,False,False,True
