ds,sunshine_amount,air_temperature,rain_sum,windspeed,ds,residuals,yhat,y,weekly,month_week_interaction,adjusted_forecast
2022-05-13,60.300000000000004,10.8,3.7,7.8,2022-05-13,55145.33277378955,9689.767226210446,64835.1,0.00975166655833156,95,46337.974257460446
2022-05-14,73.60000000000001,11.1,0.0,8.7,2022-05-14,104188.2796722288,12185.920327771199,116374.2,0.024086135422340334,95,68091.8070465212
2022-05-15,373.3,13.7,0.0,5.9,2022-05-15,-23467.420426225515,66091.02042622551,42623.6,0.0012200198237155187,95,48320.803629350514
2022-05-16,360.0,16.7,0.0,6.6,2022-05-16,-16083.142883064189,64128.94288306419,48045.8,-0.01161755925009179,100,40529.35499243919
2022-05-17,139.9,19.0,0.0,6.8,2022-05-17,117513.07971424048,23737.12028575954,141250.2,-0.007421338227192473,100,31142.28532482204
2022-05-18,293.3,15.6,1.5,9.6,2022-05-18,-20282.17573864868,53246.47573864868,32964.3,-0.008979758327130627,100,38565.69448864868
2022-05-19,40.2,13.1,0.0,5.7,2022-05-19,22325.561171463363,7245.738828536635,29571.3,-0.007039165999988855,100,29324.453672286636
2022-05-20,219.89999999999998,15.7,0.0,5.8,2022-05-20,51297.72622453729,39644.07377546271,90941.8,0.00975166655835102,100,51508.97514265021
2022-05-21,260.2,13.2,0.30000000000000004,4.5,2022-05-21,61924.26888602331,47220.631113976684,109144.9,0.024086135422337757,100,89962.92408272668
2022-05-22,160.0,16.2,0.0,8.0,2022-05-22,20003.511084622463,29715.088915377535,49718.6,0.00122001982369905,100,37948.282274752535
2022-05-23,46.8,16.3,3.8,11.3,2022-05-23,15277.130569131079,7865.269430868922,23142.4,-0.011617559250075626,105,29820.255758993924
2022-05-24,40.2,14.7,0.6,10.5,2022-05-24,16653.169038770327,6644.430961229673,23297.6,-0.007421338227198456,105,30558.67900810467
2022-05-25,40.2,13.7,9.700000000000001,8.9,2022-05-25,70173.247945783,6872.252054216993,77045.5,-0.008979758327137597,105,35397.103616716995
2022-05-26,213.3,12.5,0.2,10.1,2022-05-26,12303.674937553078,40124.02506244692,52427.7,-0.0070391660000210295,105,30733.56119525942
2022-05-27,340.0,11.5,1.7,10.9,2022-05-27,26505.907780045425,64682.49221995457,91188.4,0.009751666558367485,105,66393.72329905613
2022-05-28,646.6,12.9,0.0,14.3,2022-05-28,-6838.131751918088,124613.53175191808,117775.4,0.024086135422329367,105,138210.46339254308
2022-05-29,73.5,10.7,0.0,9.7,2022-05-29,31756.11450388371,13276.085496116288,45032.2,0.0012200198237835923,105,34893.140183616284
2022-05-30,113.5,12.4,0.0,5.5,2022-05-30,14260.89965697968,21373.70034302032,35634.6,-0.011617559250091801,110,27946.70229614532
2022-05-31,126.7,14.1,0.0,7.2,2022-05-31,10460.437180595181,24075.86281940482,34536.3,-0.007421338227204441,110,27889.730739326696
