,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature
0,2021-01-01,16321.7,0.0,0.0,0.0,0.0
1,2021-01-02,6584.2,0.0,0.0,0.0,0.0
2,2021-01-03,10853.8,0.0,0.0,0.0,0.0
3,2021-01-04,4533.2,0.0,0.0,0.0,0.0
4,2021-01-05,5328.4,0.0,0.0,0.0,0.0
5,2021-01-06,5889.4,0.0,0.0,0.0,0.0
6,2021-01-07,6254.2,0.0,0.0,0.0,0.0
7,2021-01-08,8082.0,0.0,0.0,0.0,0.0
8,2021-01-09,7220.0,0.0,0.0,0.0,0.0
9,2021-01-10,9983.0,0.0,0.0,0.0,0.0
10,2021-01-11,5541.4,0.0,0.0,0.0,0.0
11,2021-01-12,8360.6,0.0,0.0,0.0,0.0
12,2021-01-13,6232.9,0.0,0.0,0.0,0.0
13,2021-01-14,9332.8,0.0,0.0,0.0,0.0
14,2021-01-15,19320.4,0.0,0.0,0.0,0.0
15,2021-01-16,8858.3,0.0,0.0,0.0,0.0
16,2021-01-17,11102.9,0.0,0.0,0.0,0.0
17,2021-01-18,3930.1,0.0,0.0,0.0,0.0
18,2021-01-19,5732.0,0.0,0.0,0.0,0.0
19,2021-01-20,8755.3,0.0,0.0,0.0,0.0
20,2021-01-21,9411.1,0.0,0.0,0.0,0.0
21,2021-01-22,9346.8,0.0,0.0,0.0,0.0
22,2021-01-23,6508.1,0.0,0.0,0.0,0.0
23,2021-01-24,8099.3,0.0,0.0,0.0,0.0
24,2021-01-25,6087.1,0.0,0.0,0.0,0.0
25,2021-01-26,5910.9,0.0,0.0,0.0,0.0
26,2021-01-27,5472.0,0.0,0.0,0.0,0.0
27,2021-01-28,6182.7,0.0,0.0,0.0,0.0
28,2021-01-29,11092.4,0.0,0.0,0.0,0.0
29,2021-01-30,6665.3,0.0,0.0,0.0,0.0
30,2021-01-31,7972.8,0.0,0.0,0.0,0.0
31,2021-02-01,4380.2,0.0,0.0,0.0,0.0
32,2021-02-02,8027.1,0.0,0.0,0.0,0.0
33,2021-02-03,6245.9,0.0,0.0,0.0,0.0
34,2021-02-04,6025.8,0.0,0.0,0.0,0.0
35,2021-02-05,9379.6,0.0,0.0,0.0,0.0
36,2021-02-06,6256.9,0.0,0.0,0.0,0.0
37,2021-02-07,10954.7,0.0,0.0,0.0,0.0
38,2021-02-08,5482.3,0.0,0.0,0.0,0.0
39,2021-02-09,4732.0,0.0,0.0,0.0,0.0
40,2021-02-10,5200.9,0.0,0.0,0.0,0.0
41,2021-02-11,2269.1,0.0,0.0,0.0,0.0
42,2021-02-12,5796.1,0.0,0.0,0.0,0.0
