,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_fall_weekend,heavy_rain_winter_weekday,heavy_rain_winter_weekend,non_heavy_rain_fall_weekend,fellesferie,is_may,covid_restriction_christmas,week_number,custom_regressor,fall_start,covid_loose_fall21,christmas_shopping,days_since_last,days_until_next,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
0,2021-01-01,15276.8,0.0,0.0,0.0,0.0,4,1,0,0,0,0,False,False,False,53,0.0,False,False,False,0,28,False,False,False,False,True,False,False
1,2021-01-02,14978.8,0.0,0.0,0.0,0.0,5,1,0,0,0,0,False,False,False,53,0.0,False,False,False,0,27,False,False,False,False,False,True,False
2,2021-01-03,15003.2,0.0,0.0,0.0,0.0,6,1,0,0,0,0,False,False,False,53,0.0,False,False,False,0,26,False,False,False,False,False,False,True
3,2021-01-04,6987.6,0.0,0.0,0.0,0.0,0,1,0,0,0,0,False,False,False,1,0.0,False,False,False,0,25,True,False,False,False,False,False,False
4,2021-01-05,8016.9,0.0,0.0,0.0,0.0,1,1,0,0,0,0,False,False,False,1,0.0,False,False,False,0,24,False,True,False,False,False,False,False
5,2021-01-06,3059.1,0.0,0.0,0.0,0.0,2,1,0,0,0,0,False,False,False,1,0.0,False,False,False,0,23,False,False,True,False,False,False,False
6,2021-01-07,6665.1,0.0,0.0,0.0,0.0,3,1,0,0,0,0,False,False,False,1,0.0,False,False,False,0,22,False,False,False,True,False,False,False
7,2021-01-08,7777.9,0.0,0.0,0.0,0.0,4,1,0,0,0,0,False,False,False,1,0.0,False,False,False,0,21,False,False,False,False,True,False,False
8,2021-01-09,8082.5,0.0,0.0,0.0,0.0,5,1,0,0,0,0,False,False,False,1,0.0,False,False,False,0,20,False,False,False,False,False,True,False
9,2021-01-10,8354.3,0.0,0.0,0.0,0.0,6,1,0,0,0,0,False,False,False,1,0.0,False,False,False,0,19,False,False,False,False,False,False,True
10,2021-01-11,5281.3,0.0,0.0,0.0,0.0,0,1,0,0,0,0,False,False,False,2,0.0,False,False,False,0,18,True,False,False,False,False,False,False
11,2021-01-12,8042.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,False,False,False,2,0.0,False,False,False,0,17,False,True,False,False,False,False,False
12,2021-01-13,8357.8,0.0,0.0,0.0,0.0,2,1,0,0,0,0,False,False,False,2,0.0,False,False,False,0,16,False,False,True,False,False,False,False
13,2021-01-14,6497.9,0.0,0.0,0.0,0.0,3,1,0,0,0,0,False,False,False,2,0.0,False,False,False,0,15,False,False,False,True,False,False,False
14,2021-01-15,11669.6,0.0,0.0,0.0,0.0,4,1,0,0,0,0,False,False,False,2,0.0,False,False,False,0,14,False,False,False,False,True,False,False
15,2021-01-16,12518.8,0.0,0.0,0.0,0.0,5,1,0,0,0,0,False,False,False,2,0.0,False,False,False,0,13,False,False,False,False,False,True,False
16,2021-01-17,11705.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,False,False,False,2,0.0,False,False,False,0,12,False,False,False,False,False,False,True
17,2021-01-18,6071.6,0.0,0.0,0.0,0.0,0,1,0,0,0,0,False,False,False,3,0.0,False,False,False,0,11,True,False,False,False,False,False,False
18,2021-01-19,7258.9,0.0,0.0,0.0,0.0,1,1,0,0,0,0,False,False,False,3,0.0,False,False,False,0,10,False,True,False,False,False,False,False
19,2021-01-20,7918.7,0.0,0.0,0.0,0.0,2,1,0,0,0,0,False,False,False,3,0.0,False,False,False,0,9,False,False,True,False,False,False,False
20,2021-01-21,5564.9,0.0,0.0,0.0,0.0,3,1,0,0,0,0,False,False,False,3,0.0,False,False,False,0,8,False,False,False,True,False,False,False
21,2021-01-22,11883.5,0.0,0.0,0.0,0.0,4,1,0,0,0,0,False,False,False,3,0.0,False,False,False,0,7,False,False,False,False,True,False,False
22,2021-01-23,17340.5,0.0,0.0,0.0,0.0,5,1,0,0,0,0,False,False,False,3,0.0,False,False,False,0,6,False,False,False,False,False,True,False
23,2021-01-24,9215.3,0.0,0.0,0.0,0.0,6,1,0,0,0,0,False,False,False,3,0.0,False,False,False,0,5,False,False,False,False,False,False,True
24,2021-01-25,6457.9,0.0,0.0,0.0,0.0,0,1,0,0,0,0,False,False,False,4,0.0,False,False,False,0,4,True,False,False,False,False,False,False
25,2021-01-26,7979.8,0.0,0.0,0.0,0.0,1,1,0,0,0,0,False,False,False,4,0.0,False,False,False,0,3,False,True,False,False,False,False,False
26,2021-01-27,6180.3,0.0,0.0,0.0,0.0,2,1,0,0,0,0,False,False,False,4,0.0,False,False,False,0,2,False,False,True,False,False,False,False
27,2021-01-28,7456.4,0.0,0.0,0.0,0.0,3,1,0,0,0,0,False,False,False,4,0.0,False,False,False,0,1,False,False,False,True,False,False,False
28,2021-01-29,13054.5,0.0,0.0,0.0,0.0,4,1,0,0,0,0,False,False,False,4,0.0,False,False,False,0,0,False,False,False,False,True,False,False
29,2021-01-30,13660.6,0.0,0.0,0.0,0.0,5,1,0,0,0,0,False,False,False,4,0.0,False,False,False,1,27,False,False,False,False,False,True,False
30,2021-01-31,8554.1,0.0,0.0,0.0,0.0,6,1,0,0,0,0,False,False,False,4,0.0,False,False,False,2,26,False,False,False,False,False,False,True
31,2021-02-01,5543.2,0.0,0.0,0.0,0.0,0,2,0,0,0,0,False,False,False,5,0.0,False,False,False,3,25,True,False,False,False,False,False,False
32,2021-02-02,7029.1,0.0,0.0,0.0,0.0,1,2,0,0,0,0,False,False,False,5,0.0,False,False,False,4,24,False,True,False,False,False,False,False
33,2021-02-03,8396.3,0.0,0.0,0.0,0.0,2,2,0,0,0,0,False,False,False,5,0.0,False,False,False,5,23,False,False,True,False,False,False,False
34,2021-02-04,6733.3,0.0,0.0,0.0,0.0,3,2,0,0,0,0,False,False,False,5,0.0,False,False,False,0,22,False,False,False,True,False,False,False
35,2021-02-05,13551.0,0.0,0.0,0.0,0.0,4,2,0,0,0,0,False,False,False,5,0.0,False,False,False,0,21,False,False,False,False,True,False,False
36,2021-02-06,18948.2,0.0,0.0,0.0,0.0,5,2,0,0,0,0,False,False,False,5,0.0,False,False,False,0,20,False,False,False,False,False,True,False
37,2021-02-07,14474.3,0.0,0.0,0.0,0.0,6,2,0,0,0,0,False,False,False,5,0.0,False,False,False,0,19,False,False,False,False,False,False,True
38,2021-02-08,3977.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,False,False,False,6,0.0,False,False,False,0,18,True,False,False,False,False,False,False
39,2021-02-09,11172.8,0.0,0.0,0.0,0.0,1,2,0,0,0,0,False,False,False,6,0.0,False,False,False,0,17,False,True,False,False,False,False,False
40,2021-02-10,9882.6,0.0,0.0,0.0,0.0,2,2,0,0,0,0,False,False,False,6,0.0,False,False,False,0,16,False,False,True,False,False,False,False
41,2021-02-11,13030.3,0.0,0.0,0.0,0.0,3,2,0,0,0,0,False,False,False,6,0.0,False,False,False,0,15,False,False,False,True,False,False,False
42,2021-02-12,17652.8,0.0,0.0,0.0,0.0,4,2,0,0,0,0,False,False,False,6,0.0,False,False,False,0,14,False,False,False,False,True,False,False
43,2021-02-13,30690.3,0.0,0.0,0.0,0.0,5,2,0,0,0,0,False,False,False,6,0.0,False,False,False,0,13,False,False,False,False,False,True,False
44,2021-02-14,13188.8,0.0,0.0,0.0,0.0,6,2,0,0,0,0,False,False,False,6,0.0,False,False,False,0,12,False,False,False,False,False,False,True
45,2021-02-15,12872.7,0.0,0.0,0.0,0.0,0,2,0,0,0,0,False,False,False,7,0.0,False,False,False,0,11,True,False,False,False,False,False,False
46,2021-02-16,12054.9,0.0,0.0,0.0,0.0,1,2,0,0,0,0,False,False,False,7,0.0,False,False,False,0,10,False,True,False,False,False,False,False
47,2021-02-17,9110.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,False,False,False,7,0.0,False,False,False,0,9,False,False,True,False,False,False,False
48,2021-02-18,11972.1,0.0,0.0,0.0,0.0,3,2,0,0,0,0,False,False,False,7,0.0,False,False,False,0,8,False,False,False,True,False,False,False
