,ds,cluster_label,sunshine_amount,fellesferie,is_may,covid_restriction_christmas,fall_start,covid_loose_fall21,christmas_shopping,rain_sum,windspeed,air_temperature,day_of_week,month,heavy_rain_fall_weekend,heavy_rain_winter_weekday,heavy_rain_winter_weekend,non_heavy_rain_fall_weekend,week_number,custom_regressor
0,2021-01-01,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,1,0,0,0,0,53,0.0
1,2021-01-02,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,1,0,0,0,0,53,0.0
2,2021-01-03,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,1,0,0,0,0,53,0.0
3,2021-01-04,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,1,0,0,0,0,1,0.0
4,2021-01-05,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,1,0,0,0,0,1,0.0
5,2021-01-06,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,1,0,0,0,0,1,0.0
6,2021-01-07,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,1,0,0,0,0,1,0.0
7,2021-01-08,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,1,0,0,0,0,1,0.0
8,2021-01-09,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,1,0,0,0,0,1,0.0
9,2021-01-10,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,1,0,0,0,0,1,0.0
10,2021-01-11,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,1,0,0,0,0,2,0.0
11,2021-01-12,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,1,0,0,0,0,2,0.0
12,2021-01-13,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,1,0,0,0,0,2,0.0
13,2021-01-14,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,1,0,0,0,0,2,0.0
14,2021-01-15,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,1,0,0,0,0,2,0.0
15,2021-01-16,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,1,0,0,0,0,2,0.0
16,2021-01-17,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,1,0,0,0,0,2,0.0
17,2021-01-18,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,1,0,0,0,0,3,0.0
18,2021-01-19,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,1,0,0,0,0,3,0.0
19,2021-01-20,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,1,0,0,0,0,3,0.0
20,2021-01-21,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,1,0,0,0,0,3,0.0
21,2021-01-22,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,1,0,0,0,0,3,0.0
22,2021-01-23,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,1,0,0,0,0,3,0.0
23,2021-01-24,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,1,0,0,0,0,3,0.0
24,2021-01-25,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,1,0,0,0,0,4,0.0
25,2021-01-26,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,1,0,0,0,0,4,0.0
26,2021-01-27,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,1,0,0,0,0,4,0.0
27,2021-01-28,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,1,0,0,0,0,4,0.0
28,2021-01-29,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,4,1,0,0,0,0,4,0.0
29,2021-01-30,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,5,1,0,0,0,0,4,0.0
30,2021-01-31,3.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,6,1,0,0,0,0,4,0.0
31,2021-02-01,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,0,2,0,0,0,0,5,0.0
32,2021-02-02,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,1,2,0,0,0,0,5,0.0
33,2021-02-03,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,2,2,0,0,0,0,5,0.0
34,2021-02-04,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,3,2,0,0,0,0,5,0.0
