ds,residuals
2021-01-01,-5850.07029520359
2021-01-02,-9303.258329474413
2021-01-03,12233.676689786886
2021-01-04,1133.519452702576
2021-01-05,329.57784032381096
2021-01-06,1088.408065405325
2021-01-07,-960.4378315823833
2021-01-08,-6212.869035535761
2021-01-09,-5706.961729570399
2021-01-10,14820.7
2021-01-11,8884.575639162744
2021-01-12,8805.43034436608
2021-01-13,5973.693230924804
2021-01-14,4525.910007327653
2021-01-15,-3592.7452516584362
2021-01-16,-952.411909562159
2021-01-17,11604.8
2021-01-18,8384.8
2021-01-19,7349.391524082741
2021-01-20,9555.825394935553
2021-01-21,5716.850140760065
2021-01-22,781.3708762199694
2021-01-23,-5418.1182818137395
2021-01-24,12373.8
2021-01-25,6365.737530048547
2021-01-26,2094.072155044196
2021-01-27,1447.0793207357792
2021-01-28,-2180.1452642827953
2021-01-29,-8747.553425218532
2021-01-30,-8150.076635306379
2021-01-31,10526.1
2021-02-01,-1002.6764771534063
2021-02-02,-1515.6141650774643
2021-02-03,529.8176347140216
2021-02-04,-5564.864347124032
2021-02-05,-7076.468448622511
2021-02-06,-8107.202976048275
2021-02-07,11253.449850679024
2021-02-08,-1815.5634071976847
2021-02-09,-1776.3558002852842
2021-02-10,-1177.566071690102
2021-02-11,-5361.602249859712
2021-02-12,-11227.878691107455
2021-02-13,-9370.590405561927
2021-02-14,4477.850275756095
2021-02-15,-5885.9863968134105
2021-02-16,-4830.217888952557
2021-02-17,-8475.984935049244
2021-02-18,-11959.86817779507
2021-02-19,-11040.199090625647
2021-02-20,-14138.306247674835
2021-02-21,19651.380706250206
2021-02-22,-591.2291441694942
2021-02-23,-2461.50885466854
2021-02-24,-5257.288189518107
2021-02-25,-2974.496058666409
2021-02-26,-1400.982778054913
2021-02-27,225.81675431838448
2021-02-28,23146.260971744363
2021-03-01,-1053.786197499452
2021-03-02,-7916.705924209149
2021-03-03,-5036.936068491492
2021-03-04,-6883.713844140257
2021-03-05,-15714.791890764149
2021-03-06,-15160.101360535562
2021-03-07,15424.824096042308
2021-03-08,-9248.573106182492
2021-03-09,-9101.746501628748
2021-03-10,-5780.961155652523
2021-03-11,-6570.971364606585
2021-03-12,-14380.977043818737
2021-03-13,-12274.12946893579
2021-03-14,15398.815280462308
2021-03-15,-1025.9647646736557
2021-03-16,-1124.5787361644361
2021-03-17,-2349.230653867984
2021-03-18,-2599.206845229626
2021-03-19,-10254.459495852938
2021-03-20,-7157.830696866949
2021-03-21,14614.457396681431
2021-03-22,803.8446375198728
2021-03-23,529.5998509522797
2021-03-24,2328.1170820107964
2021-03-25,-2402.775229893772
2021-03-26,-4531.705824493878
2021-03-27,-9040.294426769422
2021-03-28,11607.849517864695
2021-03-29,-1219.4356094058585
2021-03-30,286.80563001823975
2021-03-31,-4412.446432246914
2021-04-01,-3582.1750492589817
2021-04-02,-9802.819561556324
2021-04-03,-14493.92001688913
2021-04-04,10625.372583055698
2021-04-05,4251.118166846358
2021-04-06,-5061.417182705096
2021-04-07,-3914.014500506175
2021-04-08,-8582.949650380056
2021-04-09,-14800.037765046593
2021-04-10,-11324.351115281235
2021-04-11,11685.920820383406
2021-04-12,-5488.427307193528
2021-04-13,-6579.060921728882
2021-04-14,-4071.291306622783
2021-04-15,-5793.62055467933
2021-04-16,-14487.06133764502
2021-04-17,-7546.028913402912
2021-04-18,19595.435017391457
2021-04-19,-1520.8286315091846
2021-04-20,-3232.6303973028353
2021-04-21,-10955.873259852886
2021-04-22,-9811.165890845145
2021-04-23,-13029.724401486084
2021-04-24,-11994.006881790563
2021-04-25,13146.993608148425
2021-04-26,-4623.904223090063
2021-04-27,-7252.291032354302
2021-04-28,-5467.451820015505
2021-04-29,-9373.931554796503
2021-04-30,-8851.207179779281
2021-05-01,-3525.8175646734526
2021-05-02,16094.673255566617
2021-05-03,-7285.982886775895
2021-05-04,-3249.2427710472184
2021-05-05,-6283.0485352371215
2021-05-06,-9424.647823556132
2021-05-07,-10754.372891855714
2021-05-08,-11094.28085290335
2021-05-09,9593.533422473696
2021-05-10,-8732.882099445624
2021-05-11,-7021.512703478795
2021-05-12,-7868.899580291038
2021-05-13,-85.12443931807866
2021-05-14,-13889.569530114037
2021-05-15,-18917.1950847357
2021-05-16,20317.241849278988
2021-05-17,-2579.0735868539086
2021-05-18,77.77553531400918
2021-05-19,-8451.318184483735
2021-05-20,-10819.406136837235
2021-05-21,-10686.947601727916
2021-05-22,-17591.238202799614
2021-05-23,3966.4228454044496
2021-05-24,2318.272058950679
2021-05-25,-10498.905356308253
2021-05-26,-11202.521698744857
2021-05-27,4493.489167679458
2021-05-28,19846.753557399454
2021-05-29,25131.20117008676
2021-05-30,40346.24409362894
2021-05-31,-2809.7101709712515
2021-06-01,24869.660026139176
2021-06-02,-31613.776816096
2021-06-03,-1089.7833598617945
2021-06-04,13451.452091881249
2021-06-05,7755.858930918577
2021-06-06,21318.28824682572
2021-06-07,-4801.94976892402
2021-06-08,-7230.65064113984
2021-06-09,7713.635076962295
2021-06-10,671.7189741447
2021-06-11,18512.10175639142
2021-06-12,-4005.625555942155
2021-06-13,19183.87258135359
2021-06-14,-13086.51423830619
2021-06-15,-4834.881459364635
